timestamp,dx_pixels_per_sec,dy_pixels_per_sec,speed_pixels_per_sec
1764762471.8741424,2.5701737,1.576781,3.0152996
1764762472.567318,-19.834154,34.49288,39.78885
1764762472.8023276,19.819077,4.98497,20.436382
1764762473.2642014,22.004078,-53.997395,58.308643
1764762473.4931254,-96.453,13.131254,97.34275
1764762473.7198012,-39.051327,4.2104197,39.27765
1764762473.9486048,0.23113844,-53.72154,53.722034
1764762474.1786401,8.996801,-102.63796,103.03152
1764762474.4066765,30.821928,17.997921,35.691967
1764762474.633034,-7.35299,77.94195,78.28802
1764762474.860369,-33.336903,-0.9786415,33.351265
1764762475.0896893,-0.90577954,0.22763747,0.9339462
1764762475.3230102,17.870382,0.9855611,17.89754
1764762475.784675,-17.54485,6.619355,18.752003
1764762476.0173485,-18.191124,6.181164,19.212595
1764762476.251049,-3.0154521,9.1593685,9.642976
1764762476.4838722,14.389288,-36.72592,39.444202
1764762476.7168198,-29.622387,-111.910324,115.76444
1764762476.943634,75.872986,-19.005766,78.21719
1764762477.1758578,-1.3276868,20.347023,20.390295
1764762477.6309943,6.4864917,-7.7166767,10.080757
1764762477.8628428,45.89157,31.313417,55.556877
1764762478.09087,-17.44696,15.477534,23.322746
1764762478.549211,-23.720795,-111.41224,113.909454
1764762478.7821958,-6.9282203,-36.532894,37.184036
1764762478.7821958,-6.9282203,-36.532894,37.184036
1764762479.2486618,-2.216677,13.644331,13.82322
1764762479.4805286,0.89734674,-6.6725245,6.7325935
1764762479.7152612,-1.2536209,-15.027995,15.080193
1764762479.9473317,0.41118246,-5.0146756,5.031505
1764762480.4185467,-12.127663,-5.667801,13.386716
1764762480.656425,-1.4597988,-2.6048706,2.9860282
1764762480.8892531,7.4039354,0.34519655,7.4119782
1764762481.1215503,5.4485354,-8.432106,10.03927
1764762481.3577297,-34.77017,10.225438,36.242573
1764762481.5923889,-16.899069,4.625177,17.520582
1764762481.8263094,11.119034,-7.7395463,13.547453
1764762482.062161,-18.752121,-4.807466,19.358557
1764762482.2955916,41.40346,100.58328,108.77152
1764762482.5226176,-3.5064557,6.5333138,7.4148107
1764762482.9830303,33.832123,48.784103,59.367508
1764762483.2141151,70.84827,-31.28792,77.44941
1764762483.4421153,6.3662157,-4.965779,8.073888
1764762483.6745899,2.4859347,-9.032428,9.368278
1764762484.364141,21.298206,6.7162476,22.332075
1764762484.5974298,-2.239275,6.7951202,7.1545796
1764762484.8350458,-15.354338,17.990328,23.651798
1764762485.5251312,-6.053913,7.43763,9.590006
1764762486.2228642,-31.065142,-75.05639,81.23118
1764762486.6787434,0.11611437,-2.1663558,2.1694653
1764762486.9104133,-33.049744,-0.83260155,33.06023
1764762487.1456497,-38.3838,-10.592345,39.818512
1764762487.379119,-49.03885,2.0289679,49.080803
1764762487.602928,2.3871238,57.621475,57.6709
1764762487.828147,-96.44247,35.567608,102.792046
1764762488.051891,14.342983,49.0974,51.149544
1764762488.5127213,6.979275,0.18309365,6.9816766
1764762488.743885,-27.773706,60.6136,66.673744
1764762489.2006636,34.735493,-50.8166,61.55389
1764762489.4243102,2.498128,-9.194319,9.527652
1764762489.6550944,6.8444247,-80.93296,81.221855
1764762489.8825018,16.152887,-106.865524,108.0794
1764762490.112221,-4.1712084,17.735003,18.218927
1764762490.3469346,-9.843012,13.096416,16.382948
1764762490.579711,-8.420628,6.326566,10.532445
1764762490.8105958,-19.230553,-9.605108,21.495867
1764762491.0453675,-1.8325639,-103.5399,103.55612
1764762491.2730453,1.6174378,-15.910251,15.992254
1764762491.6408145,-3.9088862,16.723404,17.174156
1764762492.2666893,-0.04296255,-3.794794,3.7950373
1764762492.9085534,-3.448289,-2.2293806,4.1061945
1764762493.553724,1.1867803,-4.289609,4.450752
1764762494.8375573,4.7256856,-10.064907,11.119103
1764762495.4709322,2.3572223,-2.471485,3.4153674
1764762496.105399,0.8576543,-2.4469168,2.5928695
1764762496.745636,-0.64464283,1.7030061,1.8209323
1764762497.2535467,3.0313663,-1.7491865,3.4998336
1764762497.4851031,5.5157514,14.3337965,15.358425
1764762497.7178102,-38.796062,5.663666,39.20729
1764762497.943761,0.27020463,2.167076,2.1838565
1764762498.1754072,10.16722,-2.6757498,10.51342
1764762498.4083402,49.825157,81.71313,95.7057
1764762498.6356025,63.29907,7.471841,63.73853
1764762498.8638198,3.3343182,12.406188,12.846446
1764762499.5490484,-0.15625244,-12.06499,12.066002
1764762499.7820005,56.56886,92.41011,108.34973
1764762500.006316,47.591755,26.173935,54.31436
1764762500.234616,-2.9414294,33.367504,33.496902
1764762500.9344435,6.837416,37.283386,37.90516
1764762501.5586786,-4.990722,1.6171765,5.2461953
1764762502.1868336,-1.2537959,2.584904,2.872931
1764762502.814903,22.008053,25.4326,33.632893
1764762503.3281684,-9.57772,-4.355032,10.521359
1764762503.7920594,-4.73161,-3.0219805,5.6143117
1764762504.4290168,-2.9314957,-0.24058414,2.9413512
1764762505.0559883,-4.9435143,-0.7774474,5.004274
1764762505.6896946,5.625441,-23.141302,23.815235
1764762506.2403297,8.232475,-3.7736206,9.05615
1764762506.600826,7.17092,-59.849895,60.277958
1764762507.2240531,14.806262,-10.625948,18.224604
1764762507.8529553,1.2570711,-6.912639,7.0260096
1764762508.4887621,-3.11048,-0.7351804,3.1961815
1764762509.1284764,-5.8396263,10.388748,11.917521
1764762509.6024487,5.7940073,-6.489033,8.699314
1764762510.233154,0.3842548,0.53218186,0.65640634
1764762510.8636718,0.3895928,-3.095522,3.1199422
1764762511.4967537,-9.898519,18.010052,20.550978
1764762512.0779266,-30.009195,3.8674948,30.257385
1764762512.5799437,0.86926466,-2.705953,2.8421476
1764762513.2167509,-4.590146,2.1982884,5.089392
1764762513.8522718,-2.375017,-2.6651533,3.5698385
1764762514.4887252,-0.2340041,-1.6357237,1.652377
1764762514.9324186,-2.4473484,-1.6886305,2.9733796
1764762515.2350867,3.3653734,-4.315501,5.4725943
1764762515.866441,-0.6077106,-1.9427671,2.0355973
1764762516.4962397,-1.8996997,-1.6189966,2.4959986
1764762517.1355162,9.674212,-8.3317795,12.767495
1764762517.753001,-3.1819503,-1.6737477,3.5953078
1764762518.3865,-0.28282222,1.3122803,1.3424113
1764762518.896618,-3.235996,-1.5028697,3.5679529
1764762519.4788268,-5.914949,1.6318086,6.1359124
1764762520.1119058,3.148415,1.3949364,3.4435978
1764762520.7482018,-2.4987094,-3.857442,4.5960207
1764762521.385739,-3.267353,-3.3241057,4.661038
1764762521.8337564,3.5409813,0.4620787,3.5710034
1764762522.4733608,0.99783313,-0.5252887,1.127652
1764762523.1034913,2.7529213,-1.63568,3.2021906
1764762523.7392428,2.1708589,2.2785833,3.1471527
1764762524.373886,-1.3680466,1.0418278,1.7195804
1764762524.6099086,30.10708,45.371395,54.451813
1764762524.8378344,4.1257644,66.9774,67.104355
1764762525.0695868,13.019351,-6.305608,14.465966
1764762525.3055665,-1.7219157,-1.1822013,2.0886822
1764762525.5399425,1.028252,0.7578477,1.2773548
1764762525.775459,-2.559504,-25.416842,25.54539
1764762526.0070972,12.643256,-1.2716695,12.707048
1764762526.2422588,-32.245003,-13.145013,34.821426
1764762526.9323132,24.690634,-1.8204035,24.75765
1764762527.3954048,-28.437275,13.255799,31.375067
